Title,URL,Document ID,Authors,Conference/Journal,Year,Code Link,Code Context
A Task Offloading Incentive Mechanism for Vehicle Platoon in Intelligent Transportation System,https://ieeexplore.ieee.org/document/9921879/,9921879,Yanan Zhao; Runkun Liu; Zhengxing Lan; Han Jiang; Shuai Liu; Yilong Ren; ; ; ; ; ; ,2022 IEEE 25th International Conference on Intelligent Transportation Systems (ITSC),2022,,
Lightweight Tensor Deep Computation Model With Its Application in Intelligent Transportation Systems,https://ieeexplore.ieee.org/document/9725249/,9725249,Debin Liu; Laurence T. Yang; Ruonan Zhao; Jiawei Wang; Xia Xie; ; ; ; ; ,IEEE Transactions on Intelligent Transportation Systems,2022,,
Competitive Multi-Agent Reinforcement Learning for Traffic Signal Control,https://ieeexplore.ieee.org/document/10036251/,10036251,Bálint Kóvári; Máté Kolat; Tamás Bécsi; Szilárd Aradi; ; ; ; ,2022 IEEE 20th Jubilee International Symposium on Intelligent Systems and Informatics (SISY),2022,,
Demo: Deterministic Radio Propagation Simulation for Integrated Communication Systems in Multimodal Intelligent Transportation Scenarios,https://ieeexplore.ieee.org/document/9915017/,9915017,Hagen Ußler; Katharina Porepp; Jonas Ninnemann; Paul Schwarzbach; Oliver Michler; ; ; ; ; ,2022 IEEE International Conference on Communications Workshops (ICC Workshops),2022,,
A New Technique For Deciding On The Interval Type-2 Fuzzy Transportation Problem Based On Interval Linear Programming Problems,https://ieeexplore.ieee.org/document/9756496/,9756496,Moslem Javanmard; Hassan Mishmast Nehi; ; ,2022 9th Iranian Joint Congress on Fuzzy and Intelligent Systems (CFIS),2022,,
An Effective Practical Approach for LDM in China’s Cooperative Intelligent Transportation System,https://ieeexplore.ieee.org/document/10101434/,10101434,Changlong Zhang; Jimin Wei; Peipei Fu; Jingang Dai; Xianning She; Shibo Qu; ; ; ; ; ; ,2022 IEEE 7th International Conference on Intelligent Transportation Engineering (ICITE),2022,,
A New Algorithm For The Initial Feasible Solutions Of Fixed Charge Transportation Problem,https://ieeexplore.ieee.org/document/9919524/,9919524,Nermin Kartlı; Erkan Bostancı; Mehmet Serdar Güzel; ; ; ,2022 7th International Conference on Computer Science and Engineering (UBMK),2022,,
Cluster Analysis on Sustainable Transportation: The Case of New York City Open Data,https://ieeexplore.ieee.org/document/9801569/,9801569,Gerjane Joy Cabunagan-Cinco; Enayat Rajabi; Slawomir Nowaczyk; ; ; ,2022 International Conference on Applied Artificial Intelligence (ICAPAI),2022,https://github.com/erajabi/NYC_Mobility_Clustering," 0.89 0.89 0.88 0.95 
 
 
 
3 https://github.com/erajabi/NYC_Mobility_Clustering   Fig. 2.  ROC Curve   
V. CL"
A Flexible System-level Hydrogen Transportation System Operating Structure Interacting with Urban Transportation System,https://ieeexplore.ieee.org/document/10000113/,10000113,Elahe Sahraie; Innocent Kamwa; ; ,2022 IEEE Electrical Power and Energy Conference (EPEC),2022,,
Multi-step Road Network Speed Prediction Based on Graph Convolution Long Short-Term Memory Neural Network,https://ieeexplore.ieee.org/document/10101438/,10101438,Chaoqiang Liang; Yangzhou Chen; Zeyu Shi; ; ; ,2022 IEEE 7th International Conference on Intelligent Transportation Engineering (ICITE),2022,,
RFAP: A Revocable Fine-Grained Access Control Mechanism for Autonomous Vehicle Platoon,https://ieeexplore.ieee.org/document/9523580/,9523580,Yanan Zhao; Yunpeng Wang; Xiaochun Cheng; Hengwei Chen; Haiyang Yu; Yilong Ren; ; ; ; ; ; ,IEEE Transactions on Intelligent Transportation Systems,2022,,
"Co-simulation of Power Grid, Information Network and Transportation Network Simulation System",https://ieeexplore.ieee.org/document/9832036/,9832036,Yongmin Shuai; Yu Zhang; Fuhao Liu; Xiaobin Qiao; Yunfei Xiong; Yong Zeng; ; ; ; ; ; ,2022 IEEE 2nd International Conference on Software Engineering and Artificial Intelligence (SEAI),2022,,
Heterogeneous Knowledge Learning of Predictive Academic Intelligence in Transportation,https://ieeexplore.ieee.org/document/9298476/,9298476,Hao Lu; Yifan Zhu; Qika Lin; Tan Wang; Zhendong Niu; Enrique Herrera-Viedma; ; ; ; ; ; ,IEEE Transactions on Intelligent Transportation Systems,2022,,
Design of Integrated Platform for Vehicle-road Collaborative Perception in Smart Transportation,https://ieeexplore.ieee.org/document/9927677/,9927677,Teng Jiang; Wenxuan Liu; ; ,2022 IEEE 5th International Conference on Information Systems and Computer Aided Education (ICISCAE),2022,,
Intelligent Transportation Information Flow Transmission Model based on WSN and 5G Technology,https://ieeexplore.ieee.org/document/9987423/,9987423,Jun Xiao; Chuanlin Yuan; Meng Wang; ; ; ,"2022 Sixth International Conference on I-SMAC (IoT in Social, Mobile, Analytics and Cloud) (I-SMAC)",2022,,
