Title,URL,Document ID,Authors,Conference/Journal,Year,Code Link,Code Context
Research and Practice on the Construction of Connected Vehicle in the Greater Bay Area under the Smart City,https://ieeexplore.ieee.org/document/9921929/,9921929,Qi Liu; Hongfeng Shu; Lei Peng; Limin Lv; Ouwen Zhang; Guangyong Yuan; ; ; ; ; ; ,2022 IEEE 25th International Conference on Intelligent Transportation Systems (ITSC),2022,,
An Analytical Model of Page Dissemination for Efficient Big Data Transmission of C-ITS,https://ieeexplore.ieee.org/document/9667333/,9667333,Lina Yang; Zenggang Xiong; Gang Liu; Yongjin Hu; Xuemin Zhang; Meikang Qiu; ; ; ; ; ; ,IEEE Transactions on Intelligent Transportation Systems,2022,,
A Two-stage Optimization Method for Intermodle Transportation,https://ieeexplore.ieee.org/document/10019929/,10019929,Fan Chen; HaiYan Luo; Ping Zhang; Qing Zhu; ; ; ; ,"2022 IEEE 5th Advanced Information Management, Communicates, Electronic and Automation Control Conference (IMCEC)",2022,,
DOA Estimation Technique for Underwater Transportation via Compressed Sensing Based on Vector Sensor Array,https://ieeexplore.ieee.org/document/9868979/,9868979,Hai-Yan Song; Feng-Yang Chi; Chang-Yi Yang; ; ; ,2022 IEEE International Conference on Consumer Electronics - Taiwan,2022,,
The Use of Artificial Neural Networks (ANN) as an Auxiliary Factor in Planning Transportation Routes : Theoretical Aspects of Artificial Intelligence Systems Development for Transportation Engineering,https://ieeexplore.ieee.org/document/9744087/,9744087,A. A. Chernyshev; E. A. Koryagina; D. G. Moroz; S. S. Titova; ; ; ; ,2022 Systems of Signals Generating and Processing in the Field of on Board Communications,2022,,
Multi-vehicle Cooperative Merging Control Strategy for Expressway under New Mixed Traffic Environment,https://ieeexplore.ieee.org/document/10101440/,10101440,Ying Chen; Wenjuan E; Xiang Wang; Qixing Wan; Cheng Wang; Na Yang; ; ; ; ; ; ,2022 IEEE 7th International Conference on Intelligent Transportation Engineering (ICITE),2022,,
Lane Change Intention Recognition for Human Driving Vehicles under Moving Bottleneck on Freeway,https://ieeexplore.ieee.org/document/10101403/,10101403,Yuyao Zan; Xiang Wang; Beibei Xu; Fangyu Feng; Zhangji Ling; Jiayi Song; ; ; ; ; ; ,2022 IEEE 7th International Conference on Intelligent Transportation Engineering (ICITE),2022,,
Deep CNN-BiLSTM Model for Transportation Mode Detection Using Smartphone Accelerometer and Magnetometer,https://ieeexplore.ieee.org/document/9827275/,9827275,Qinrui Tang; Kanwal Jahan; Michael Roth; ; ; ,2022 IEEE Intelligent Vehicles Symposium (IV),2022,,
Multiagent-Based Modeling and Simulation of a Coal Multimodal Transport System,https://ieeexplore.ieee.org/document/9801815/,9801815,Yan Yang; Qiang Zhou; Ke Chen; ; ; ,IEEE Access,2022,,
Study on Reliability System of A Monitoring Device for Power Transmission and Transformation based on Transportation and Inspection IOT,https://ieeexplore.ieee.org/document/9993438/,9993438,Yanjun Hao; Zelong Duan; Tao Yao; Taoyun Zhang; Rubao Huo; ; ; ; ; ,2022 European Conference on Communication Systems (ECCS),2022,,
Design and Strength Analysis of Feeding Rail Car for Long Steel Member of Tower Transportation,https://ieeexplore.ieee.org/document/9939545/,9939545,Weiyu Chen; Yangsen Li; Chen Liu; Fei Wang; Jian Qin; ; ; ; ; ,2022 8th International Conference on Mechanical Engineering and Automation Science (ICMEAS),2022,,
Significance of Risks in Transportation Projects in Vietnam through two main Dimensions,https://ieeexplore.ieee.org/document/9984106/,9984106,Phuong Thi Le; ,2022 7th National Scientific Conference on Applying New Technology in Green Buildings (ATiGB),2022,,
Modeling and Optimization of Heavy Vehicle Cargo Transportation System Based on Feature Extraction Algorithm,https://ieeexplore.ieee.org/document/10079032/,10079032,Xijiao Chen; ,"2022 2nd International Conference on Networking, Communications and Information Technology (NetCIT)",2022,,
Temporary Parking Reservation for Trucks in Urban Commercial Districts Based on Improved Greedy Algorithm,https://ieeexplore.ieee.org/document/10101415/,10101415,Yi Wang; Xiang Wang; Yuyao Zan; Ronghuan Gao; Lingyi Miao; ; ; ; ; ,2022 IEEE 7th International Conference on Intelligent Transportation Engineering (ICITE),2022,,
Cooperative Learning with Difference Reward in Large-Scale Traffic Signal Control,https://ieeexplore.ieee.org/document/9922382/,9922382,Shuo Wang; Wenwei Yue; Yue Chen; Xingyi Ji; Xinyang Chen; Yaokai Jin; ; ; ; ; ; ,2022 IEEE 25th International Conference on Intelligent Transportation Systems (ITSC),2022,,
Adaptive Spatiotemporal Dependence Learning for Multi-Mode Transportation Demand Prediction,https://ieeexplore.ieee.org/document/9732280/,9732280,Haihui Xu; Tao Zou; Mingzhe Liu; Yanan Qiao; Jingjing Wang; Xucheng Li; ; ; ; ; ; ,IEEE Transactions on Intelligent Transportation Systems,2022,,
"Agile Approaches for Cybersecurity Systems, IoT and Intelligent Transportation",https://ieeexplore.ieee.org/document/9656744/,9656744,Yahya M. Tashtoush; Dirar A. Darweesh; Ghaith Husari; Omar A. Darwish; Yousef Darwish; Luai Bani Issa; Huthaifa I. Ashqar; ; ; ; ; ; ; ,IEEE Access,2022,,
The relevance of the Use of Electric Buses at Motor Transport Enterprises for Intracity Passenger Routes,https://ieeexplore.ieee.org/document/9934070/,9934070,Dmitry Ryabchikov; Irina Marusina; Alexander Shemyakin; Maxim Alexeevsky; Viktor Malchikov; ; ; ; ; ,2022 International Conference on Engineering Management of Communication and Technology (EMCTECH),2022,,
Exploring the Logistics Barriers in the Development of Multimodal Transportation; The case of Thai Textiles Export to Bhutan,https://ieeexplore.ieee.org/document/9765140/,9765140,Wangchuk Rabten; Kariya Ngamsomsuke; Narat Hasachoo; ; ; ,2022 International Conference on Decision Aid Sciences and Applications (DASA),2022,,
Optimization Model of Tourist Transportation Route based on Multi-Neuron Algorithm,https://ieeexplore.ieee.org/document/9832182/,9832182,Jiang Xiong; ,"2022 IEEE 2nd International Conference on Electronic Technology, Communication and Information (ICETCI)",2022,,
Case Study On Transport Of Petroleum In Nigerian Cities,https://ieeexplore.ieee.org/document/10037348/,10037348,Snehee Chheda; Anish Gharat; Kruttika Abhyankar; Sheetal Gonsalves; ; ; ; ,2022 IEEE Bombay Section Signature Conference (IBSSC),2022,,
Research on Human-in-the-loop Traffic Adaptive Decision Making Method,https://ieeexplore.ieee.org/document/9953216/,9953216,Peng Zhang; Wei Liu; Junjie Shao; ; ; ,2022 4th International Conference on Robotics and Computer Vision (ICRCV),2022,,
A Train Positioning Method Based-On Vision and Millimeter-Wave Radar Data Fusion,https://ieeexplore.ieee.org/document/9346048/,9346048,Zhangyu Wang; Guizhen Yu; Bin Zhou; Pengcheng Wang; Xinkai Wu; ; ; ; ; ,IEEE Transactions on Intelligent Transportation Systems,2022,,
FarNet: An Attention-Aggregation Network for Long-Range Rail Track Point Cloud Segmentation,https://ieeexplore.ieee.org/document/9585545/,9585545,Zhangyu Wang; Guizhen Yu; Peng Chen; Bin Zhou; Songyue Yang; ; ; ; ; ,IEEE Transactions on Intelligent Transportation Systems,2022,,
NSSNet: Scale-Aware Object Counting With Non-Scale Suppression,https://ieeexplore.ieee.org/document/9233977/,9233977,Liang Liu; Zhiguo Cao; Hao Lu; Haipeng Xiong; Chunhua Shen; ; ; ; ; ,IEEE Transactions on Intelligent Transportation Systems,2022,,
A Bibliometric Analysis of IEEE T-ITS Literature Between 2010 and 2019,https://ieeexplore.ieee.org/document/9729787/,9729787,Xingkai Sun; Shichao Ge; Xiao Wang; Hao Lu; Enrique Herrera-Viedma; ; ; ; ; ,IEEE Transactions on Intelligent Transportation Systems,2022,,
Elasticity of Intelligent Transportation System Applications in a Fog Computing Environment,https://ieeexplore.ieee.org/document/9824638/,9824638,Thiago C. Medeiros; Elton Soares; Carlos Alberto Vieira Campos; ; ; ,2022 International Wireless Communications and Mobile Computing (IWCMC),2022,,
Study Case of Smart City: The Usage of Digital Twin in Transportation System,https://ieeexplore.ieee.org/document/9970922/,9970922,Sutani; Fitrah Ramadhan; Fadhil Hidayat; Dzaki Naufal Hakim; Uly Amaliah; Wahyu Setyo Kuntoro; ; ; ; ; ; ,2022 International Conference on Information Technology Systems and Innovation (ICITSI),2022,,
Feasibility Analysis of Supply-Demand Matching between Highway Operational Energy Consumption and Renewable Energy Integration: A Case Study of Panzhihua-Dali Highway within Sichuan Province,https://ieeexplore.ieee.org/document/9949700/,9949700,Liang Dai; Chengyin Zhang; Yun Huang; Hongke Xu; ; ; ; ,2022 IEEE/IAS Industrial and Commercial Power System Asia (I&CPS Asia),2022,,
System of Systems Model for Planning Electric Vehicle Charging Infrastructure in Intercity Transportation Networks Under Emission Consideration,https://ieeexplore.ieee.org/document/9430758/,9430758,Chao Lei; Liqun Lu; Yanfeng Ouyang; ; ; ,IEEE Transactions on Intelligent Transportation Systems,2022,,
Multistage Robust Optimization of Routing and Scheduling of Mobile Energy Storage in Coupled Transportation and Power Distribution Networks,https://ieeexplore.ieee.org/document/9634033/,9634033,Zhuoxin Lu; Xiaoyuan Xu; Zheng Yan; Mohammad Shahidehpour; ; ; ; ,IEEE Transactions on Transportation Electrification,2022,,
A Single-snapshot Compressed Sensing Technique for Source Localization in Underwater Transportation,https://ieeexplore.ieee.org/document/9869043/,9869043,Zi-Ang Jin; Hai-Yan Song; Tao Tang; Zhen-Bang Wang; Bing Li; ; ; ; ; ,2022 IEEE International Conference on Consumer Electronics - Taiwan,2022,,
Constrained Load Transportation by A Team of Quadrotors,https://ieeexplore.ieee.org/document/9992662/,9992662,Xu Jin; Zhongjun Hu; ; ,2022 IEEE 61st Conference on Decision and Control (CDC),2022,,
Relative Position Estimation for Long Object Transportation by Multiple Omni-directional Mobile Robots,https://ieeexplore.ieee.org/document/9708764/,9708764,R. Sakata; J. Takemoto; T. Tsubouchi; ; ; ,2022 IEEE/SICE International Symposium on System Integration (SII),2022,,
Guest Editorial: Special Issue on Advanced Technology and Application for Hydrogen-Integrated Transportation and Power Systems,https://ieeexplore.ieee.org/document/9705065/,9705065,Jianxiao Wang; Zhaohao Ding; Guannan He; Qifang Chen; ; ; ; ,IEEE Transactions on Industry Applications,2022,,
The Modeling Digital Transformation of the Regional Container Transportation Organization,https://ieeexplore.ieee.org/document/9976712/,9976712,Julia A. Tagiltseva; Elena L. Kuzina; Marina A. Vasilenko; Natalia V. Babloyan; Anastasia V. Vasilchenko; Anastasia M. Prokopova; ; ; ; ; ; ,"2022 International Conference on Quality Management, Transport and Information Security, Information Technologies (IT&QM&IS)",2022,,
Image Compression Based on Importance Using Optimal Mass Transportation Map,https://ieeexplore.ieee.org/document/9897380/,9897380,Zihang Li; Dongsheng An; Yingjie Feng; Xianfeng Gu; Xiaoyin Xu; Min Zhang; ; ; ; ; ; ,2022 IEEE International Conference on Image Processing (ICIP),2022,,
Soft Computing Approach for Three-Level Time Minimization Transportation Problem,https://ieeexplore.ieee.org/document/9988352/,9988352,Gurwinder Singh; Amarinder Singh; ; ,2022 2nd International Conference on Technological Advancements in Computational Sciences (ICTACS),2022,,
Research on U-shaped automated terminal scheduling optimization algorithm considering transportation equipment conflict congestion,https://ieeexplore.ieee.org/document/9963476/,9963476,Yaqian Niu; Fang Yu; Yongsheng Yang; ; ; ,2022 International Symposium on Sensing and Instrumentation in 5G and IoT Era (ISSI),2022,,
"The Electrification of Public Transportation as a Method of Sustainable Urban Development, the Case of the Elevators and Trolleys of Valparaiso, Chile",https://ieeexplore.ieee.org/document/10079533/,10079533,Samuel Carmona; Stefania Pareti; Loreto Rudolph; Vicente Valdebenito; ; ; ; ,2022 3rd International Conference on Advanced Electrical and Energy Systems (AEES),2022,,
Safety-Oriented Train Control Systems Monitoring in Smart Railway Transportation: A Review,https://ieeexplore.ieee.org/document/9946872/,9946872,Djamila Zamouche; Sofiane Aissani; Mawloud Omar; Narimane Saad; ; ; ; ,2022 4th International Conference on Pattern Analysis and Intelligent Systems (PAIS),2022,https://www.criticalsoftware.com/multimedia/critical/en/Y1cMA1tGf-,"e, Technical report, [online]
https://www.criticalsoftware.com/multimedia/critical/en/Y1cMA1tGf-
CSW-Railway-WhitePaper-Automa"
"Joint Optimization for Pedestrian, Information and Energy Flows in Emergency Response Systems With Energy Harvesting and Energy Sharing",https://ieeexplore.ieee.org/document/9751227/,9751227,Huibo Bi; Wen-Long Shang; Yanyan Chen; Kezhi Wang; ; ; ; ,IEEE Transactions on Intelligent Transportation Systems,2022,,
Effect of Visual Augmented Reality in the Transportation Sector,https://ieeexplore.ieee.org/document/10010159/,10010159,I Putu Ronny Eka Wicaksana; Bertrand; Jason Christian; Said Achmad; Rhio Sutoyo; ; ; ; ; ,2022 International Conference on Informatics Electrical and Electronics (ICIEE),2022,,
Mining Transportation Issues from Patient Portal Messages,https://ieeexplore.ieee.org/document/9874638/,9874638,Nan Wang; Ming Huang; Jungwei Fan; ; ; ,2022 IEEE 10th International Conference on Healthcare Informatics (ICHI),2022,,
Medical Small-scale Transportation Object Detection Algorithm Based on Multimodal Data Fusion,https://ieeexplore.ieee.org/document/10063328/,10063328,Tiankai Chen; Haosen Wang; Shifeng Wang; Bo Lu; ; ; ; ,2022 16th ICME International Conference on Complex Medical Engineering (CME),2022,,
Space-Air-Ground Integrated Network Development and Applications in High-Speed Railways: A Survey,https://ieeexplore.ieee.org/document/9582617/,9582617,Jie Sheng; Xingqiang Cai; Qingyang Li; Cheng Wu; Bo Ai; Yiming Wang; Michel Kadoch; Peng Yu; ; ; ; ; ; ; ; ,IEEE Transactions on Intelligent Transportation Systems,2022,,
Sustainability Investigations based on Digitalization Technologies in the Field of Transportation Logistics: A Systematic Literature Review Protocol,https://ieeexplore.ieee.org/document/9989555/,9989555,Simon Riedle; Navid Julian Sardarabady; John-Dean Kasher; ; ; ,2022 IEEE International Conference on Industrial Engineering and Engineering Management (IEEM),2022,,
Deviation Point Curriculum Learning for Trajectory Outlier Detection in Cooperative Intelligent Transport Systems,https://ieeexplore.ieee.org/document/9646484/,9646484,Usman Ahmed; Gautam Srivastava; Youcef Djenouri; Jerry Chun-Wei Lin; ; ; ; ,IEEE Transactions on Intelligent Transportation Systems,2022,,
Transport Management Systems as a Tool to Ensure the Flexibility and Efficiency of Cargo Delivery,https://ieeexplore.ieee.org/document/9965551/,9965551,D. B. Efimenko; S. A. Filatov; E. S. Barabanova; ; ; ,2022 Intelligent Technologies and Electronic Devices in Vehicle and Road Transport Complex (TIRVED),2022,,
Understanding and Modeling Urban Mobility Dynamics via Disentangled Representation Learning,https://ieeexplore.ieee.org/document/9239884/,9239884,Hailong Zhang; Yuankai Wu; Huachun Tan; Hanxuan Dong; Fan Ding; Bin Ran; ; ; ; ; ; ,IEEE Transactions on Intelligent Transportation Systems,2022,,
GREEN: A Global Optimization Scheme for Transportation Efficiency by Mining Taxi Mobility,https://ieeexplore.ieee.org/document/9468922/,9468922,Huigui Rong; Shengxu Huo; Qun Zhang; Hui Zheng; Chang Yang; ; ; ; ; ,IEEE Transactions on Intelligent Transportation Systems,2022,,
MSCPT: Toward Cross-Place Transportation Mode Recognition Based on Multi-Sensor Neural Network Model,https://ieeexplore.ieee.org/document/9557753/,9557753,Yida Zhu; Haiyong Luo; Runze Chen; Fang Zhao; Song Guo; ; ; ; ; ,IEEE Transactions on Intelligent Transportation Systems,2022,,
Infrastructure Material Magnetization Impact Assessment of Wireless Power Transfer Pavement Based on Resonant Inductive Coupling,https://ieeexplore.ieee.org/document/9507335/,9507335,Feng Li; Xuan Sun; Siqi Zhou; Yuhang Chen; Zhibin Hao; Zhanning Yang; ; ; ; ; ; ,IEEE Transactions on Intelligent Transportation Systems,2022,,
Deep Reinforcement Learning for Intelligent Transportation Systems: A Survey,https://ieeexplore.ieee.org/document/9146378/,9146378,Ammar Haydari; Yasin Yılmaz; ; ,IEEE Transactions on Intelligent Transportation Systems,2022,,
UAV-based Travel Assistive Technology for Smart Transportation,https://ieeexplore.ieee.org/document/9845547/,9845547,Nathan McNamara; Jounsup Park; Matthew Vechione; Prabha Sundaravadivel; ; ; ; ,2022 IEEE 15th Dallas Circuit And System Conference (DCAS),2022,,
Cyber-Physical Modeling of Intelligent Traffic Controllers Using Simulator for Urban Mobility (SUMO),https://ieeexplore.ieee.org/document/10109411/,10109411,Adrian Jenssen L. Pe; Jerahmeel Kua Coching; Seth Gabriel D. Yeung; Wynnezel Akeboshi; Robert Kerwin C. Billones; ; ; ; ; ,"2022 IEEE 14th International Conference on Humanoid, Nanotechnology, Information Technology, Communication and Control, Environment, and Management (HNICEM)",2022,,
Improving Construction Waste Management using Transportation Management and Lean Tools at a Construction and Hydrocarbons Company,https://ieeexplore.ieee.org/document/9845209/,9845209,Freddy Calluche-Avendaño; Krissia Castillo-Flores; Gino Viacava-Campos; ; ; ,2022 8th International Conference on Information Management (ICIM),2022,,
Research on Intelligent Transportation Based on' you only look at once at image' algorithm : Taking the crackdown on prostitutes' nests as an example,https://ieeexplore.ieee.org/document/9758498/,9758498,Weilan Guo; Xin Wang; Fengyun Lu; Haitao Wang; ; ; ; ,"2022 International Conference on Big Data, Information and Computer Network (BDICN)",2022,,
Optimal Operation of Coupled Power and Transportation System Based on Double-Objective Optimization,https://ieeexplore.ieee.org/document/9960561/,9960561,Jialin Song; ,2022 7th International Conference on Power and Renewable Energy (ICPRE),2022,,
The Application of BP Neural Network Model in Transportation Scheme Design based on MATLAB,https://ieeexplore.ieee.org/document/9832269/,9832269,Kangkang Zhao; Xianyu Gong; Yanhong Wu; Zhibo Gao; ; ; ; ,"2022 IEEE 2nd International Conference on Electronic Technology, Communication and Information (ICETCI)",2022,,
Improvement of cold chain transportation client based on improved mediator pattern,https://ieeexplore.ieee.org/document/9948349/,9948349,Hao Chen; Taoli Liu; Zhenming Li; Litao Cao; ; ; ; ,"2022 5th International Conference on Advanced Electronic Materials, Computers and Software Engineering (AEMCSE)",2022,,
Facility location selection considering distance and transportation mode,https://ieeexplore.ieee.org/document/9894602/,9894602,Akane Hagimoto; Aya Ishigaki; Ryuta Takashima; ; ; ,2022 12th International Congress on Advanced Applied Informatics (IIAI-AAI),2022,,
Design and Implementation of Large Data Acquisition and Analysis System for Intelligent Traffic Flow,https://ieeexplore.ieee.org/document/9943096/,9943096,Ling Qi; Changhua Wang; ; ,2022 International Conference on Machine Learning and Intelligent Systems Engineering (MLISE),2022,,
Pneumatic Waste Collection System Using Intelligent Systems as a Means of Improving the Urban Environment,https://ieeexplore.ieee.org/document/9965556/,9965556,A. I. Dotsenko; G. V. Kustarev; N. M. Andryukhov; ; ; ,2022 Intelligent Technologies and Electronic Devices in Vehicle and Road Transport Complex (TIRVED),2022,,
BDESF-ITS: Blockchain-Based Secure Data Exchange and Storage Framework for Intelligent Transportation System,https://ieeexplore.ieee.org/document/9798114/,9798114,Naivedya Lath; Kaustubh Thapliyal; Kartik Kandpal; Mohammad Wazid; Ashok Kumar Das; D. P. Singh; ; ; ; ; ; ,IEEE INFOCOM 2022 - IEEE Conference on Computer Communications Workshops (INFOCOM WKSHPS),2022,,
Automatic Detection of People Getting Into a Bus in a SMART Public Transportation System,https://ieeexplore.ieee.org/document/9971097/,9971097,Roya Alizadeh; Yvon Savaria; Chahé Nerguizian; ; ; ,"2022 29th IEEE International Conference on Electronics, Circuits and Systems (ICECS)",2022,,
NOMA grouping in 5G intelligent transportation system for high spectral efficiency,https://ieeexplore.ieee.org/document/9953641/,9953641,Seyedeh Armineh Sadeghi Sangdehi; Neda Moghim; ; ,"2022 Sixth International Conference on Smart Cities, Internet of Things and Applications (SCIoT)",2022,,
Deep Reinforcement Learning-Based Traffic Light Scheduling Framework for SDN-Enabled Smart Transportation System,https://ieeexplore.ieee.org/document/9511335/,9511335,Neetesh Kumar; Sarthak Mittal; Vaibhav Garg; Neeraj Kumar; ; ; ; ,IEEE Transactions on Intelligent Transportation Systems,2022,,
Research and application of data-driven intelligent traffic law enforcement system,https://ieeexplore.ieee.org/document/9929832/,9929832,Luo Wanhua; Kong Honggang; Su Hongwei; ; ; ,"2022 IEEE 6th Advanced Information Technology, Electronic and Automation Control Conference (IAEAC )",2022,,
Design and Implementation of a Sustainable Energy Generating Pad for Lightweight Transportation,https://ieeexplore.ieee.org/document/9986550/,9986550,Kazi Meharajul Kabir; Shuza Binzaid; John O. Attia; ; ; ,2022 Global Energy Conference (GEC),2022,,
A Novel Application of the Travel Profile for the Electrical Bus in Electric Systems for Transportation,https://ieeexplore.ieee.org/document/9827112/,9827112,Mohsen Tamaddon; Mohsen Da Voodi; ; ,2022 30th International Conference on Electrical Engineering (ICEE),2022,,
Wide Bandgap SiC and GaN Semiconductor Performance Evaluation in a 3-Phase 3-Level NPC Inverter for Transportation Application,https://ieeexplore.ieee.org/document/9978767/,9978767,Arturs Bogdanovs; Oskars Krievs; Johannes Pforr; ; ; ,2022 IEEE 63th International Scientific Conference on Power and Electrical Engineering of Riga Technical University (RTUCON),2022,,
Measuring the Performance Impact of a Decentralized Waterborne Container Transportation Service on Inland Waterway Hubs in Western Germany,https://ieeexplore.ieee.org/document/9989632/,9989632,C. Alias; J. Zum Felde; S. Severin; F. E. Alarcón Olalla; ; ; ; ,2022 IEEE International Conference on Industrial Engineering and Engineering Management (IEEM),2022,,
Energy Consumption Optimization in Rail Transportation System using Linear Programming,https://ieeexplore.ieee.org/document/10109578/,10109578,Noelle Marie D. Espiritu; Robert Kerwin C. Billones; Nilo T. Bugtai; ; ; ,"2022 IEEE 14th International Conference on Humanoid, Nanotechnology, Information Technology, Communication and Control, Environment, and Management (HNICEM)",2022,,
Transportation robot based on multi-sensor fusion and machine vision,https://ieeexplore.ieee.org/document/10033531/,10033531,Renning Pang; Jianzhao Cao; Yuxia Wang; Yuanwei Qi; Liangliang Sun; ; ; ; ; ,2022 34th Chinese Control and Decision Conference (CCDC),2022,,
A Mathematical Model of Traffic Guidance Information for Transportation Hub,https://ieeexplore.ieee.org/document/10210809/,10210809,Liyan Qin; Bosheng Zheng; Junqing Wei; ; ; ,"2022 International Conference on Intelligent Transportation, Big Data & Smart City (ICITBS)",2022,,
Systematic Review on Classical Car-Following Models,https://ieeexplore.ieee.org/document/10101483/,10101483,Jiacheng Yin; Zongping Li; Peng Cao; ; ; ,2022 IEEE 7th International Conference on Intelligent Transportation Engineering (ICITE),2022,,
GP3: Gaussian Process Path Planning for Reliable Shortest Path in Transportation Networks,https://ieeexplore.ieee.org/document/9522098/,9522098,Hongliang Guo; Xuejie Hou; Zhiguang Cao; Jie Zhang; ; ; ; ,IEEE Transactions on Intelligent Transportation Systems,2022,,
An Intelligent Control Scheme for Optimum Efficiency and Reduced Emission Operation of Marine Transportation System,https://ieeexplore.ieee.org/document/9767794/,9767794,Nikhil Bhati; Ujjwal Kumar Kalla; Bhim Singh; Anjanee Kumar MIshra; ; ; ; ,IEEE Transactions on Intelligent Transportation Systems,2022,https://github.com/bstabler/TransportationNetworks,"4, 2021. [Online]. Available: https://github.com/bstabler/TransportationNetworks
[47] R. K. Kamalanathsharma, "
An intelligent traffic control system based on sand table,https://ieeexplore.ieee.org/document/9930209/,9930209,Lianying Zou; Tao Yuan; Wenjie Liao; Yang Zhang; Xinli Cao; Yuxin Shang; ; ; ; ; ; ,2022 International Conference on Artificial Intelligence and Computer Information Technology (AICIT),2022,,
Research on Temporal and Spatial Short-Term Traffic Flow Forecasting Model based on Multi-Sensing Data,https://ieeexplore.ieee.org/document/10196698/,10196698,Yantao Shao; Zhihao Wen; Chenzhuo Jin; Caipeng Gu; Lina Wang; ; ; ; ; ,2022 International Symposium on Intelligent Robotics and Systems (ISoIRS),2022,,
Autonomous Driving Simulation for Hybrid Traffic,https://ieeexplore.ieee.org/document/9998420/,9998420,Zhong Wen; Biao Yang; Haoxing Zhang; ; ; ,2022 32nd International Telecommunication Networks and Applications Conference (ITNAC),2022,,
Mixed-Integer Programming for a New Time-Dependent Lane Reservation Problem,https://ieeexplore.ieee.org/document/10101417/,10101417,Xiaoxuan Xu; Peng Wu; Yunfei Fang; ; ; ,2022 IEEE 7th International Conference on Intelligent Transportation Engineering (ICITE),2022,,
Long-Tailed Traffic Sign Detection Using Attentive Fusion and Hierarchical Group Softmax,https://ieeexplore.ieee.org/document/9870750/,9870750,Erfeng Gao; Weiguo Huang; Juanjuan Shi; Xiang Wang; Jianying Zheng; Guifu Du; Yanyun Tao; ; ; ; ; ; ; ,IEEE Transactions on Intelligent Transportation Systems,2022,,
Machine-Learning based Transportation Network Sparsification for IoT Trucking Automation and Optimization,https://ieeexplore.ieee.org/document/10061970/,10061970,Di Chang; Zhiming Wang; Xia Zhang; ; ; ,2022 4th International Academic Exchange Conference on Science and Technology Innovation (IAECST),2022,,
Testing Partial Discharges in Laminated Busbar for Electrified Transportation: An Innovative Approach,https://ieeexplore.ieee.org/document/9833178/,9833178,G. C. Montanari; Q. Yang; D. Nath; P. Defriece; J. Schmeller; ; ; ; ; ,2022 IEEE Electrical Insulation Conference (EIC),2022,,
Coordinated Control of Load Transportation System for Multiple Quadrotor UAVs,https://ieeexplore.ieee.org/document/10034355/,10034355,Long Dang; Zhixi Shen; ; ,2022 34th Chinese Control and Decision Conference (CCDC),2022,,
Exact Algorithms for Two-Machine Job-Shop Scheduling Problem with One Joint Job Considering Machine Repetition and Transportation Times,https://ieeexplore.ieee.org/document/9989626/,9989626,H. Numaguchi; W. Wu; Y. Hu; ; ; ,2022 IEEE International Conference on Industrial Engineering and Engineering Management (IEEM),2022,,
A Gas Cylinder Monitoring System: A Benign Transportation Sector Based on IoT and Edge Computing,https://ieeexplore.ieee.org/document/9765300/,9765300,Mahbubul Islam; Saddam Al Amin; Md. Abul Kalam Azad; Gazi Sikandar Mainuddin Ahmed; A. K. M. Muzahidul Islam; ; ; ; ; ,2022 International Conference on Decision Aid Sciences and Applications (DASA),2022,,
Modeling of Buck Converter Charging Station to Improve the Power Quality using Three Phase Single Tuned Harmonic Filter for Electric Transportation,https://ieeexplore.ieee.org/document/9909306/,9909306,Sugunakar Mamidala; Arvind Kumar Prajapati; Simhachalam Ravada; ; ; ,2022 IEEE 2nd International Conference on Sustainable Energy and Future Electric Transportation (SeFeT),2022,,
Applications of Artificial Intelligence in Transportation,https://ieeexplore.ieee.org/document/9872928/,9872928,Sikandar Khan; Adnan Adnan; Naveed Iqbal; ; ; ,"2022 International Conference on Electrical, Computer and Energy Technologies (ICECET)",2022,,
Deployment of Charging Stations for Drone Delivery Assisted by Public Transportation Vehicles,https://ieeexplore.ieee.org/document/9662663/,9662663,Hailong Huang; Andrey V. Savkin; ; ,IEEE Transactions on Intelligent Transportation Systems,2022,,
Improving Synchronization in High-Speed Railway and Air Intermodality: Integrated Train Timetable Rescheduling and Passenger Flow Forecasting,https://ieeexplore.ieee.org/document/9673681/,9673681,Yuyan Tan; Yibo Li; Ruxin Wang; Xiwei Mi; Yaxuan Li; Hao Zheng; Yu Ke; Yan Wang; ; ; ; ; ; ; ; ,IEEE Transactions on Intelligent Transportation Systems,2022,,
PrivacySignal: Privacy-Preserving Traffic Signal Control for Intelligent Transportation System,https://ieeexplore.ieee.org/document/9713758/,9713758,Zuobin Ying; Shuanglong Cao; Ximeng Liu; Zhuo Ma; Jianfeng Ma; Robert H. Deng; ; ; ; ; ; ,IEEE Transactions on Intelligent Transportation Systems,2022,,
Positioning Enhancement using Low Cost GNSS Receivers Data Exchange in Critical Intelligent Transport Systems,https://ieeexplore.ieee.org/document/9976377/,9976377,Theodore T. Kapsis; Thanassis Mpimis; Athanasios D. Panagopoulos; Vassilis Gikas; ; ; ; ,2022 Panhellenic Conference on Electronics & Telecommunications (PACET),2022,,
Localized Intelligent Traffic Monitoring System through Ontological Modelling,https://ieeexplore.ieee.org/document/10109419/,10109419,Timothy M. Amado; Jennifer C. Dela Cruz; ; ,"2022 IEEE 14th International Conference on Humanoid, Nanotechnology, Information Technology, Communication and Control, Environment, and Management (HNICEM)",2022,,
